ticker=IBM, shift=15, model=knn, performance=0.27714770981632075
ticker=IBM, shift=15, model=lstm, performance=0.25059881855800636
ticker=IBM, shift=15, model=arima, performance=-25.940211511877315
ticker=IBM, shift=5, model=ols, performance=0.9289758654392022
ticker=IBM, shift=5, model=ridge, performance=0.9287125926233997
ticker=IBM, shift=5, model=huber, performance=0.9277953955833322
ticker=IBM, shift=5, model=knn, performance=0.6545753701208326
ticker=IBM, shift=5, model=lstm, performance=0.6591727043965496
ticker=IBM, shift=5, model=arima, performance=-235.08013562647952
ticker=IBM, shift=1, model=ols, performance=0.9859994527968331
ticker=IBM, shift=1, model=ridge, performance=0.9859071927998786
ticker=IBM, shift=1, model=huber, performance=0.9858223850531062
ticker=IBM, shift=1, model=knn, performance=0.8640230679631872
ticker=IBM, shift=1, model=lstm, performance=0.7603779469980662
ticker=IBM, shift=1, model=arima, performance=-273.1293710944557
ticker=MSFT, shift=21, model=ols, performance=0.7957049942837102
ticker=MSFT, shift=21, model=ridge, performance=0.7977630426741288
ticker=MSFT, shift=21, model=huber, performance=0.8192045635227746
ticker=MSFT, shift=21, model=knn, performance=-136.1821157613418
ticker=MSFT, shift=21, model=lstm, performance=-2253.248116747823
ticker=MSFT, shift=21, model=arima, performance=-16.750198512253387
ticker=MSFT, shift=15, model=ols, performance=0.8586234818491402
ticker=MSFT, shift=15, model=ridge, performance=0.8569158349953546
ticker=MSFT, shift=15, model=huber, performance=0.8676881255386407
ticker=MSFT, shift=15, model=knn, performance=-107.6199547097011
ticker=MSFT, shift=15, model=lstm, performance=-1752.8686303614718
ticker=MSFT, shift=15, model=arima, performance=-5.265216342141188
ticker=MSFT, shift=5, model=ols, performance=0.9536349693468891
ticker=MSFT, shift=5, model=ridge, performance=0.9529942038488083
ticker=MSFT, shift=5, model=huber, performance=0.9561609822689727
ticker=MSFT, shift=5, model=knn, performance=-58.38896062659219
ticker=MSFT, shift=5, model=lstm, performance=-4911.896124316867
ticker=MSFT, shift=5, model=arima, performance=0.7637800929557693
ticker=MSFT, shift=1, model=ols, performance=0.9914825012022727
ticker=MSFT, shift=1, model=ridge, performance=0.99129398469476
ticker=MSFT, shift=1, model=huber, performance=0.9914489884174045
ticker=MSFT, shift=1, model=knn, performance=-33.52307127171724
ticker=MSFT, shift=1, model=lstm, performance=-4368.620663272682
ticker=MSFT, shift=1, model=arima, performance=0.6251125286670685
ticker=T, shift=21, model=ols, performance=0.8078207673213686
ticker=T, shift=21, model=ridge, performance=0.801535778345498
ticker=T, shift=21, model=huber, performance=0.8135639328407972
ticker=T, shift=21, model=knn, performance=-482.00432789139364
ticker=T, shift=21, model=lstm, performance=-19511.622690134973
ticker=T, shift=21, model=arima, performance=-387.868992328513
ticker=T, shift=15, model=ols, performance=0.8804777741022561
ticker=T, shift=15, model=ridge, performance=0.8796026582273639
ticker=T, shift=15, model=huber, performance=0.8821805265032878
ticker=T, shift=15, model=knn, performance=-397.14067513689486
ticker=T, shift=15, model=lstm, performance=-15681.834075807295
ticker=T, shift=15, model=arima, performance=-4330.847734663128
ticker=T, shift=5, model=ols, performance=0.9643297881507008
ticker=T, shift=5, model=ridge, performance=0.96379632702045
ticker=T, shift=5, model=huber, performance=0.9654728458688764
ticker=T, shift=5, model=knn, performance=-175.32603302026598
ticker=T, shift=5, model=lstm, performance=-32127.99190731452
ticker=T, shift=5, model=arima, performance=-128.12392731905854
ticker=T, shift=1, model=ols, performance=0.9932134739259971
ticker=T, shift=1, model=ridge, performance=0.9930227354699015
ticker=T, shift=1, model=huber, performance=0.9933924841773526
ticker=T, shift=1, model=knn, performance=-118.88413381337968
ticker=T, shift=1, model=lstm, performance=-81107.19099683766
ticker=T, shift=1, model=arima, performance=-8.151110823891958
